"","MAP_PAR_ID","NHOOD","SUB_NHOOD"
"2269","124 0 87","Freeman","Freeman"
"2270","124 0 96","Church","Church"
"2271","124 0 95",NA,NA
"2272","124 0 97","Church","Church"
"2273","124 0 98","Church","Church"
"2274","124 0 99","Church","Church"
"2275","124 0 90","Freeman","Freeman"
"2276","124 0 93","Church","Church"
"2277","124 0 94A","Church","Church"
"2278","124 0 94","Church","Church"
"2279","124 0 85","Freeman","Freeman"
"2280","124 0 81","Church","Church"
"2281","124 0 70","Church","Church"
"2282","124 0 72","Church","Kemp"
"2283","124 0 71","Church","Kemp"
"2284","124 0 122","Freeman","Freeman"
"2285","124 0 130","Freeman","Freeman"
"2286","124 0 123","Freeman","Freeman"
"2287","124 0 121","Freeman","Freeman"
"2288","124 0 127","Freeman","Freeman"
"2289","124 0 128","Freeman","Freeman"
"2290","124 0 129","Freeman","Freeman"
"2291","124 0 115","Freeman","Freeman"
"2292","124 0 114","Freeman","Freeman"
"2293","124 0 113","Freeman","Freeman"
"2294","123 0 27","Church","Kemp"
"2295","123 0 26","Church","Kemp"
"2296","123 0 20","Church","Kemp"
"2297","124 0 134","Freeman","Freeman"
"2298","124 0 124","Freeman","Freeman"
"2299","124 0 133","Freeman","Freeman"
"2300","124 0 132","Freeman","Freeman"
"2301","124 0 131","Freeman","Freeman"
"2302","124 0 143","Church","Kemp"
"2303","124 0 142","Church","Kemp"
"2304","124 0 141","Church","Kemp"
"2305","124 0 140","Church","Kemp"
"2306","124 0 75","Church","Kemp"
"2307","122 0 35","Beaver","Beaver"
"2308","123 0 40","Church","Kemp"
"2309","123 0 76","Church","Kemp"
"2310","123 0 78","Church","Kemp"
"2311","123 0 43","Church","Kemp"
"2312","123 0 28","Church","Kemp"
"2313","123 0 19","Church","Kemp"
"2314","124 0 73","Church","Kemp"
"2315","123 0 18","Church","Kemp"
"2316","123 0 29","Church","Kemp"
"2317","123 0 41","Church","Kemp"
"2318","123 0 50","Church","Kemp"
"2319","123 0 54","Church","Kemp"
"2320","123 0 55","Church","Kemp"
"2321","124 0 149","Church","Kemp"
"2322","123 0 56","Church","Kemp"
"2323","123 0 57","Church","Kemp"
"2324","123 0 58","Church","Kemp"
"2325","123 0 51","Church","Kemp"
"2326","123 0 52","Church","Kemp"
"2327","123 0 53","Church","Kemp"
"2328","123 0 45","Church","Kemp"
"2329","123 0 71","Church","Kemp"
"2330","123 0 46","Church","Kemp"
"2331","123 0 47","Church","Kemp"
"2332","123 0 48","Church","Kemp"
"2333","123 0 70","Church","Kemp"
"2334","123 0 69","Church","Kemp"
"2335","123 0 68","Church","Kemp"
"2336","123 0 49","Church","Kemp"
"2337","123 0 42","Church","Kemp"
"2338","123 0 44","Church","Kemp"
"2339","123 0 75","Church","Kemp"
"2340","123 0 74","Church","Kemp"
"2341","123 0 73","Church","Kemp"
"2342","123 0 72","Church","Kemp"
"2343","123 0 90","Church","Kemp"
"2344","122 0 19&19B","Beaver","Beaver"
"2345","122 0 18A","Beaver","Beaver"
"2346","123 0 38","Church","Kemp"
"2347","123 0 39","Church","Kemp"
"2348","122 0 10","Church","Kemp"
"2349","122 0 6","Church","Kemp"
"2350","122 0 27","Beaver","Beaver"
"2351","122 0 20","Beaver","Beaver"
"2352","122 0 40","Beaver","Beaver"
"2353","122 0 15B","Beaver","Beaver"
"2354","122 0 17","Beaver","Beaver"
"2355","122 0 16","Beaver","Beaver"
"2356","123 0 89","Church","Kemp"
"2357","123 0 87","Church","Kemp"
"2358","123 0 86","Church","Kemp"
"2359","123 0 79","Church","Kemp"
"2360","123 0 77","Church","Kemp"
"2361","123 0 88","Church","Kemp"
"2362","122 0 12","Church","Kemp"
"2363","122 0 13","Church","Kemp"
"2364","122 0 11","Church","Kemp"
"2365","122 0 47","Beaver","Beaver"
"2366","122 0 19A","Beaver","Beaver"
"2367","122 0 33A","Beaver","Beaver"
"2368","122 0 18","Beaver","Beaver"
"2369","122 0 31","Beaver","Beaver"
"2370","122 0 32","Beaver","Beaver"
"2371","122 0 30","Beaver","Beaver"
"2372","122 0 42A","Beaver","Beaver"
"2373","122 0 42","Beaver","Beaver"
"2374","122 0 43C","Beaver","Beaver"
"2375","122 0 43A","Beaver","Beaver"
"2376","122 0 42B","Beaver","Beaver"
"2377","121 0 5","Mohawk Tl","Mohawk Tl"
"2378","122 0 37A","Beaver","Beaver"
"2379","122 0 36","Beaver","Beaver"
"2380","8 0 11","Mohawk Tl","Mohawk Tl"
"2381","8 0 8","Mohawk Tl","Mohawk Tl"
"2382","4 0 25","Mohawk Tl","Mohawk Tl"
"2383","4 0 25","Mohawk Tl","Mohawk Tl"
"2384","4 0 25","Mohawk Tl","Mohawk Tl"
"2385","4 0 25","Mohawk Tl","Mohawk Tl"
"2386","4 0 25","Mohawk Tl","Mohawk Tl"
"2387","4 0 26","Mohawk Tl","Mohawk Tl"
"2388","123 0 96","Church","Kemp"
"2389","132 0 25A","Blackinton","Blackinton"
"2390","136 0 100","West End","West End"
"2391","134 0 83","Blackinton","Blackinton"
"2392","134 0 74","West End","West End"
"2393","137 0 21","West End","West End"
"2394",NA,NA,NA
"2395","136 0 101","West End","West End"
"2396","94 0 12B","West End","West End"
